Name,Area,Country,Latitude,Longitude,Zoom,Boundary
London South East (East),London (South),England,51.45502182,-0.022315979,13,"[-0.052445,51.424213],[0.047363,51.43699],[0.073266,51.48319],[0.066951,51.488446],[0.044314,51.492421],[-0.025268,51.481707],[-0.04749,51.476064],[-0.10346,51.431983],[-0.052445,51.424213]"
London South East (West),London (South),England,51.4766362,-0.094413757,13,"[-0.060447,51.42922],[-0.042712,51.433853],[-0.062548,51.473113],[-0.066192,51.479844],[-0.080975,51.498964],[-0.105105,51.496522],[-0.11221,51.481457],[-0.078846,51.433677],[-0.060447,51.42922]"
London South West,London (South),England,51.42163733,-0.270881653,13,"[-0.299215,51.358353],[-0.19222,51.396372],[-0.161381,51.436988],[-0.182608,51.458354],[-0.241865,51.475003],[-0.243301,51.475356],[-0.284857,51.479623],[-0.380743,51.484007],[-0.373993,51.417829],[-0.371758,51.402619],[-0.36423,51.367803],[-0.299215,51.358353]"
Cardiff and District,Wales and Borders,Wales,51.46994217,-3.20766449,12,"[-3.280249,51.417811],[-3.177472,51.437413],[-3.163188,51.524084],[-3.211973,51.5227],[-3.280249,51.417811]"
North West Wales,Wales and Borders,Wales,53.08777627,-4.1063295,10,"[-4.41739,52.888924],[-3.92323,52.903263],[-3.795147,53.140867],[-3.805355,53.285714],[-4.299431,53.261268],[-4.308344,53.256654],[-4.41739,52.888924]"
Shropshire,Wales and Borders,Wales,52.55840173,-2.688903809,10,"[-2.718523,52.365886],[-2.712088,52.367638],[-2.417214,52.534973],[-2.371177,52.670195],[-2.379961,52.758422],[-3.154864,52.660359],[-3.323015,52.515653],[-2.718523,52.365886]"
South East Wales,Wales and Borders,Wales,51.75466148,-3.175048828,10,"[-3.217737,51.574488],[-3.00281,51.582249],[-2.752884,51.59258],[-2.675883,51.64102],[-2.994931,51.832908],[-3.393722,51.953336],[-3.447894,51.7135],[-3.342169,51.602419],[-3.217737,51.574488]"
Swansea and District,Wales and Borders,Wales,51.61269165,-3.932418823,11,"[-3.706657,51.479424],[-3.578378,51.509539],[-3.661754,51.608442],[-3.8491,51.721793],[-4.246071,51.688101],[-4.041315,51.582045],[-3.706657,51.479424]"
Welsh Borders,Wales and Borders,Wales,52.07403099,-2.820739746,10,"[-3.00281,51.582249],[-2.313979,52.109379],[-2.208782,52.190108],[-2.227138,52.208825],[-3.010815,52.275748],[-3.119161,52.074021],[-3.00281,51.582249]"
West Wales,Wales and Borders,Wales,52.03136729,-4.400024414,9,"[-4.703033,51.671921],[-4.088691,51.793268],[-4.083393,52.114024],[-4.083147,52.416934],[-4.981801,51.991491],[-4.967892,51.801488],[-4.703033,51.671921]"
Borders and East Lothian,Scotland,Scotland,55.80710666,-2.662811279,10,"[-2.790706,55.420986],[-2.002891,55.772081],[-2.091499,55.870977],[-2.531898,56.000765],[-2.957328,55.970481],[-3.047987,55.942221],[-3.191685,55.65158],[-2.790706,55.420986]"
